year,period,periodName,value,calculations.pct_changes.12,ID,area_name,laus_check,item_name
2011,M04,April,221.767,3.1,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2011,M02,February,218.06,2.1,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2010,M12,December,215.32,1.7,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2010,M10,October,216.096,1.8,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2010,M08,August,215.996,1.8,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2010,M06,June,214.593,1.0,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2010,M04,April,215.118,2.2,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2010,M02,February,213.646,2.5,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2009,M12,December,211.722,2.6,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2009,M10,October,212.279,0.1,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2009,M08,August,212.247,-1.6,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2009,M06,June,212.448,-1.9,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2009,M04,April,210.442,-0.2,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2009,M02,February,208.361,-0.5,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2008,M12,December,206.264,-0.7,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2008,M10,October,212.018,2.4,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2008,M08,August,215.761,5.4,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2008,M06,June,216.634,4.9,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2008,M04,April,210.909,2.5,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2008,M02,February,209.322,4.0,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2007,M12,December,207.766,3.7,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2007,M10,October,207.033,3.7,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2007,M08,August,204.683,1.7,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2007,M06,June,206.477,3.0,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2007,M04,April,205.858,3.5,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2007,M02,February,201.211,3.5,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2006,M12,December,200.3,3.6,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2006,M10,October,199.7,1.8,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2006,M08,August,201.3,4.4,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2006,M06,June,200.5,3.8,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2006,M04,April,198.9,2.1,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2006,M02,February,194.4,2.4,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2022,M12,December,326.206,8.8,CUURS49DSA0L5,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less medical care
2022,M10,October,325.826,9.4,CUURS49DSA0L5,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less medical care
2022,M08,August,322.165,9.4,CUURS49DSA0L5,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less medical care
2022,M06,June,321.917,10.4,CUURS49DSA0L5,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less medical care
2022,M04,April,311.518,9.5,CUURS49DSA0L5,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less medical care
2022,M02,February,304.64,8.3,CUURS49DSA0L5,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less medical care
2021,M12,December,299.722,7.9,CUURS49DSA0L5,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less medical care
2021,M10,October,297.698,6.8,CUURS49DSA0L5,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less medical care
2021,M08,August,294.517,5.6,CUURS49DSA0L5,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less medical care
2021,M06,June,291.467,6.0,CUURS49DSA0L5,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less medical care
2021,M04,April,284.531,3.7,CUURS49DSA0L5,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less medical care
2021,M02,February,281.271,1.8,CUURS49DSA0L5,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less medical care
2020,M12,December,277.787,1.6,CUURS49DSA0L5,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less medical care
2020,M10,October,278.663,2.2,CUURS49DSA0L5,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less medical care
2020,M08,August,278.909,1.6,CUURS49DSA0L5,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less medical care
2020,M06,June,274.986,0.8,CUURS49DSA0L5,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less medical care
2020,M04,April,274.468,1.3,CUURS49DSA0L5,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less medical care
2020,M02,February,276.244,2.5,CUURS49DSA0L5,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less medical care
2019,M12,December,273.484,2.2,CUURS49DSA0L5,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less medical care
2019,M10,October,272.715,2.1,CUURS49DSA0L5,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less medical care
2019,M08,August,274.634,3.3,CUURS49DSA0L5,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less medical care
2019,M06,June,272.91,2.3,CUURS49DSA0L5,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less medical care
2019,M04,April,270.996,2.5,CUURS49DSA0L5,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less medical care
2019,M02,February,269.431,2.8,CUURS49DSA0L5,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less medical care
2018,M12,December,267.661,3.0,CUURS49DSA0L5,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less medical care
2018,M10,October,267.131,3.2,CUURS49DSA0L5,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less medical care
2018,M08,August,265.937,3.3,CUURS49DSA0L5,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less medical care
2018,M06,June,266.734,3.4,CUURS49DSA0L5,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less medical care
2018,M04,April,264.479,3.5,CUURS49DSA0L5,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less medical care
2018,M02,February,262.135,3.5,CUURS49DSA0L5,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less medical care
2017,M12,December,259.965,3.8,CUURS49DSA0L5,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less medical care
2017,M10,October,258.793,3.3,CUURS49DSA0L5,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less medical care
2017,M08,August,257.51,2.8,CUURS49DSA0L5,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less medical care
2017,M06,June,257.873,3.1,CUURS49DSA0L5,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less medical care
2017,M04,April,255.44,3.1,CUURS49DSA0L5,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less medical care
2017,M02,February,253.215,3.6,CUURS49DSA0L5,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less medical care
2016,M12,December,250.334,2.5,CUURS49DSA0L5,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less medical care
2016,M10,October,250.436,2.3,CUURS49DSA0L5,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less medical care
2016,M08,August,250.387,1.8,CUURS49DSA0L5,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less medical care
2016,M06,June,250.163,1.8,CUURS49DSA0L5,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less medical care
2016,M04,April,247.657,2.6,CUURS49DSA0L5,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less medical care
2016,M02,February,244.477,2.3,CUURS49DSA0L5,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less medical care
2015,M12,December,244.237,2.3,CUURS49DSA0L5,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less medical care
2015,M10,October,244.921,1.3,CUURS49DSA0L5,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less medical care
2015,M08,August,245.907,2.0,CUURS49DSA0L5,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less medical care
2015,M06,June,245.706,1.8,CUURS49DSA0L5,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less medical care
2015,M04,April,241.359,0.4,CUURS49DSA0L5,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less medical care
2015,M02,February,239.065,1.2,CUURS49DSA0L5,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less medical care
2014,M12,December,238.764,1.7,CUURS49DSA0L5,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less medical care
2014,M10,October,241.886,2.3,CUURS49DSA0L5,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less medical care
